                      Index  Time                Image Size     
                      557    286.23046          50
                      558    248.79240          50
                      559    213.82619          50
                      560    259.72582          50
                      561    234.50272          50
                      562    242.12403          50
                      563    281.03237          50
                      564    220.34212          50
                      565    271.65706          50
                      566    205.16121          50
                      567    255.14363          50
                      568    226.86791          50
                      569    243.95345          50
                      570    222.75843          50
                      571    239.54880          50
                      572    283.33084          50
                      573    219.12558          50
                      574    268.74966          50
                      575    270.35811          50
                      576    236.09304          50
                      577    278.36829          50
                      578    222.36468          50
                      579    276.45842          50
                      580    240.42548          50
                      581    206.96502          50
                      582    257.04345          50
                      583    257.68433          50
                      584    278.65854          50
                      585    247.07038          50
                      586    218.93685          50
                      587    212.20629          50
                      588    267.52151          50
                      589    236.62111          50
                      590    207.91796          50
                      591    250.12154          50
                      592    236.59993          50
                      593    247.08460          50
                      594    214.46010          50
                      595    259.43792          50
                      596    229.94672          50
                      597    254.31949          50
                      598    217.50948          50
                      599    268.10519          50
                      600    289.90949          60
                      601    230.15491          60
                      602    254.03589          60
                      603    305.62417          60
                      604    249.69205          60
                      605    272.04762          60
                      606    238.76816          60
                      607    270.36988          60
                      608    225.14284          60
                      609    245.15254          60
                      610    302.44265          60
                      611    295.12576          60
                      612    236.51156          60
                      613    259.44424          60
                      614    262.10711          60
                      615    258.16996          60
                      616    273.50289          60
                      617    269.16576          60
                      618    296.87319          60
                      619    238.75892          60
                      620    251.74687          60
                      621    249.74889          60
                      622    251.41518          60
                      623    267.89160          60
                      624    295.54933          60
                      625    294.76242          60
                      626    289.34422          60
                      627    239.34704          60
                      628    264.42293          60
                      629    264.47272          60
                      630    258.58396          60
                      631    285.82824          60
                      632    276.26948          60
                      633    281.54765          60
                      634    225.94338          60
                      635    248.59971          60
                      636    229.22249          60
                      637    300.23993          60
                      638    248.96772          60
                      639    248.07202          60
                      640    272.29145          60
                      641    283.76938          60
                      642    231.57733          60
                      643    288.54388          60
                      644    273.40246          60
                      645    297.99053          60
                      646    244.87790          60
                      647    266.49670          60
                      648    262.00607          60
                      649    283.70897          60
                      650    284.80018          60
                      651    235.81680          60
                      652    227.84162          60
                      653    257.84209          60
                      654    247.46261          60
                      655    271.32805          60
                      656    295.91602          60
                      657    234.79638          60
                      658    292.86511          60
                      659    282.45797          60
                      660    300.96684          60
                      661    247.79981          60
                      662    253.60710          60
                      663    239.31500          60
                      664    262.73668          60
                      665    279.21050          60
                      666    274.75877          60
                      667    298.57153          60
                      668    242.04984          60
                      669    245.82287          60
                      670    255.90280          60
                      671    275.65464          60
                      672    299.04165          60
                      673    272.56101          60
                      674    269.05756          60
                      675    294.30561          60
                      676    298.03306          60
                      677    249.97257          60
                      678    235.54957          60
                      679    261.35663          60
                      680    249.18996          60
                      681    279.11072          60
                      682    224.97085          60
                      683    246.01447          60
                      684    244.29833          60
                      685    249.01443          60
                      686    274.26116          60
                      687    301.23944          60
                      688    279.05265          60
                      689    280.91829          60
                      690    232.19131          60
                      691    263.29554          60
                      692    255.24056          60
                      693    253.64423          60
                      694    278.76318          60
                      695    274.49699          60
                      696    301.54744          60
                      697    249.22208          60
                      698    280.75352          60
                      699    249.40127          60
                      700    257.31789          70
                      701    255.24912          70
                      702    289.26697          70
                      703    281.66198          70
                      704    276.02662          70
                      705    305.87209          70
                      706    309.22805          70
                      707    316.35248          70
                      708    273.32139          70
                      709    312.23152          70
                      710    308.72931          70
                      711    297.96277          70
                      712    256.79420          70
                      713    259.73554          70
                      714    315.55918          70
                      715    291.37273          70
                      716    293.24297          70
                      717    272.94532          70
                      718    279.21204          70
                      719    283.62673          70
                      720    289.27195          70
                      721    298.95012          70
                      722    296.58368          70
                      723    296.90488          70
                      724    272.94385          70
                      725    323.78770          70
                      726    324.81266          70
                      727    288.96039          70
                      728    250.47233          70
                      729    253.85402          70
                      730    253.40787          70
                      731    264.09017          70
                      732    269.55530          70
                      733    271.53535          70
                      734    298.02673          70
                      735    293.24558          70
                      736    291.44228          70
                      737    310.21332          70
                      738    308.93994          70
                      739    312.74292          70
                      740    266.89540          70
                      741    312.49390          70
                      742    315.62074          70
                      743    286.74745          70
                      744    254.65016          70
                      745    326.57662          70
                      746    329.77164          70
                      747    302.28500          70
                      748    299.75543          70
                      749    284.45219          70
                      750    275.01957          70
                      751    278.50778          70
                      752    283.54419          70
                      753    312.10380          70
                      754    317.44279          70
                      755    317.17896          70
                      756    267.91651          70
                      757    308.05843          70
                      758    312.70785          70
                      759    262.21051          70
                      760    309.11220          70
                      761    301.40445          70
                      762    288.01060          70
                      763    259.39668          70
                      764    261.68410          70
                      765    314.46334          70
                      766    279.10388          70
                      767    278.85722          70
                      768    254.83625          70
                      769    253.81431          70
                      770    256.70503          70
                      771    256.22366          70
                      772    282.97446          70
                      773    292.71852          70
                      774    295.96095          70
                      775    322.66496          70
                      776    323.53260          70
                      777    327.66170          70
                      778    285.36088          70
                      779    257.32747          70
                      780    258.40683          70
                      781    296.47124          70
                      782    275.00344          70
                      783    274.07322          70
                      784    252.63490          70
                      785    265.92025          70
                      786    265.02533          70
                      787    266.15558          70
                      788    296.30749          70
                      789    302.83454          70
                      790    299.59213          70
                      791    315.73404          70
                      792    322.09410          70
                      793    323.42522          70
                      794    286.29078          70
                      795    253.83283          70
                      796    252.44162          70
                      797    311.10126          70
                      798    276.62046          70
                      799    270.40853          70
                      800    286.64988          80
                      801    334.70254          80
                      802    268.86700          80
                      803    337.89903          80
                      804    325.83956          80
                      805    308.95828          80
                      806    340.35438          80
                      807    309.21821          80
                      808    294.64304          80
                      809    315.30277          80
                      810    294.92760          80
                      811    330.34604          80
                      812    308.93170          80
                      813    288.55725          80
                      814    299.34684          80
                      815    349.10043          80
                      816    275.98551          80
                      817    329.03434          80
                      818    311.03137          80
                      819    324.45632          80
                      820    270.38924          80
                      821    333.27909          80
                      822    295.85203          80
                      823    316.45564          80
                      824    289.51084          80
                      825    274.39561          80
                      826    310.67270          80
                      827    297.24200          80
                      828    308.05112          80
                      829    276.99002          80
                      830    335.40054          80
                      831    286.46062          80
                      832    347.11336          80
                      833    270.17308          80
                      834    303.96818          80
                      835    283.19859          80
                      836    313.66331          80
                      837    330.91336          80
                      838    310.65186          80
                      839    344.67770          80
                      840    316.48149          80
                      841    288.13044          80
                      842    314.87424          80
                      843    295.57398          80
                      844    277.21976          80
                      845    276.82738          80
                      846    339.63782          80
                      847    349.80574          80
                      848    303.28616          80
                      849    279.17017          80
                      850    320.17872          80
                      851    343.78668          80
                      852    324.30135          80
                      853    279.93040          80
                      854    310.30818          80
                      855    289.68243          80
                      856    320.30814          80
                      857    297.68769          80
                      858    272.19272          80
                      859    282.44579          80
                      860    331.50136          80
                      861    339.86578          80
                      862    295.29245          80
                      863    279.31018          80
                      864    311.51239          80
                      865    341.75885          80
                      866    326.50020          80
                      867    285.05400          80
                      868    307.18797          80
                      869    279.74858          80
                      870    319.42661          80
                      871    298.09700          80
                      872    279.43226          80
                      873    292.28684          80
                      874    346.82575          80
                      875    342.36164          80
                      876    300.27148          80
                      877    279.62926          80
                      878    318.02995          80
                      879    268.81269          80
                      880    324.65515          80
                      881    304.88293          80
                      882    324.58243          80
                      883    298.90726          80
                      884    335.55259          80
                      885    317.90035          80
                      886    297.23334          80
                      887    310.36084          80
                      888    294.64274          80
                      889    276.71239          80
                      890    285.79720          80
                      891    345.14113          80
                      892    325.53693          80
                      893    269.21625          80
                      894    320.57977          80
                      895    309.93784          80
                      896    335.30216          80
                      897    311.13196          80
                      898    340.20264          80
                      899    313.06165          80
                      900    308.86346          90
                      901    306.83507          90
                      902    327.49620          90
                      903    293.34723          90
                      904    334.38916          90
                      905    328.90144          90
                      906    320.16491          90
                      907    345.05047          90
                      908    308.31555          90
                      909    350.63188          90
                      910    301.31402          90
                      911    303.31026          90
                      912    346.14724          90
                      913    294.02303          90
                      914    331.73152          90
                      915    314.26832          90
                      916    313.89936          90
                      917    361.50452          90
                      918    298.47397          90
                      919    337.28872          90
                      920    330.86486          90
                      921    338.90190          90
                      922    370.82844          90
                      923    303.83645          90
                      924    335.22593          90
                      925    325.28668          90
                      926    328.99371          90
                      927    290.65626          90
                      928    312.73646          90
                      929    344.83395          90
                      930    331.85070          90
                      931    340.21368          90
                      932    301.71078          90
                      933    314.71520          90
                      934    350.30142          90
                      935    341.40509          90
                      936    336.62835          90
                      937    365.83734          90
                      938    306.01601          90
                      939    331.94668          90
                      940    302.49808          90
                      941    311.13693          90
                      942    354.54599          90
                      943    323.80175          90
                      944    359.23027          90
                      945    326.03401          90
                      946    345.62327          90
                      947    372.17590          90
                      948    305.41030          90
                      949    343.56734          90
                      950    333.96394          90
                      951    335.75122          90
                      952    297.39038          90
                      953    317.44526          90
                      954    361.17398          90
                      955    349.56564          90
                      956    348.31594          90
                      957    298.53877          90
                      958    325.09781          90
                      959    288.58558          90
                      960    331.85818          90
                      961    340.78983          90
                      962    296.44210          90
                      963    305.86423          90
                      964    337.56743          90
                      965    351.34402          90
                      966    358.31633          90
                      967    315.42073          90
                      968    335.49567          90
                      969    290.96880          90
                      970    343.61900          90
                      971    339.17845          90
                      972    291.43843          90
                      973    340.09445          90
                      974    302.76678          90
                      975    348.50870          90
                      976    350.51604          90
                      977    315.96156          90
                      978    328.09071          90
                      979    360.00680          90
                      980    339.03313          90
                      981    338.08504          90
                      982    367.18001          90
                      983    327.33916          90
                      984    357.82328          90
                      985    350.66815          90
                      986    359.73288          90
                      987    314.42346          90
                      988    333.42995          90
                      989    299.55140          90
                      990    340.01712          90
                      991    339.69903          90
                      992    301.28730          90
                      993    338.80600          90
                      994    291.83016          90
                      995    328.04356          90
                      996    325.19171          90
                      997    362.91995          90
                      998    347.11433          90
                      999    308.65489          90
