                      Index  Time                Image Size     
                      426    195.02994          40
                      427    201.49050          40
                      428    183.89969          40
                      429    181.66431          40
                      430    198.01851          40
                      431    207.93533          40
                      432    193.89606          40
                      433    194.09409          40
                      434    190.97207          40
                      435    198.04181          40
                      436    185.97117          40
                      437    194.12636          40
                      438    190.16472          40
                      439    173.76469          40
                      440    186.24417          40
                      441    182.00520          40
                      442    194.89164          40
                      443    183.22023          40
                      444    202.15682          40
                      445    197.69094          40
                      446    177.72879          40
                      447    204.89794          40
                      448    198.03950          40
                      449    198.22776          40
                      450    202.73873          40
                      451    196.66898          40
                      452    193.25228          40
                      453    190.51398          40
                      454    194.12182          40
                      455    174.81539          40
                      456    202.38650          40
                      457    180.61097          40
                      458    174.26441          40
                      459    199.26538          40
                      460    186.57801          40
                      461    182.42967          40
                      462    186.21723          40
                      463    211.62790          40
                      464    176.16004          40
                      465    193.39206          40
                      466    190.72297          40
                      467    186.35265          40
                      468    211.31566          40
                      469    182.06809          40
                      470    181.63418          40
                      471    194.61320          40
                      472    182.35275          40
                      473    174.44864          40
                      474    178.20860          40
                      475    195.57311          40
                      476    190.81817          40
                      477    202.89144          40
                      478    190.29025          40
                      479    182.87572          40
                      480    189.75102          40
                      481    195.67626          40
                      482    199.83178          40
                      483    194.58892          40
                      484    200.49317          40
                      485    194.10566          40
                      486    187.00023          40
                      487    203.75022          40
                      488    188.12407          40
                      489    208.28691          40
                      490    189.90747          40
                      491    174.54096          40
                      492    191.19974          40
                      493    197.73437          40
                      494    197.27963          40
                      495    191.19398          40
                      496    193.52833          40
                      497    185.93815          40
                      498    186.15313          40
                      499    204.87803          40
                      500    211.47258          50
                      501    225.14878          50
                      502    235.07484          50
                      503    210.21916          50
                      504    209.53283          50
                      505    209.49861          50
                      506    210.87458          50
                      507    212.74027          50
                      508    193.56855          50
                      509    217.95348          50
                      510    210.50049          50
                      511    221.58013          50
                      512    212.50543          50
                      513    209.68529          50
                      514    208.95457          50
                      515    195.90002          50
                      516    223.03517          50
                      517    218.57352          50
                      518    217.77674          50
                      519    213.58507          50
                      520    225.65711          50
                      521    221.37830          50
                      522    231.34230          50
                      523    193.68323          50
                      524    221.40684          50
                      525    217.72582          50
                      526    206.86109          50
                      527    205.73190          50
                      528    214.95872          50
                      529    198.15319          50
                      530    213.80178          50
                      531    227.21193          50
                      532    229.32899          50
                      533    225.44700          50
                      534    233.50261          50
                      535    229.23852          50
                      536    202.16726          50
                      537    205.14573          50
                      538    225.48531          50
                      539    218.89972          50
                      540    209.94950          50
                      541    196.73658          50
                      542    213.80656          50
                      543    202.73121          50
                      544    211.69322          50
                      545    205.56548          50
                      546    225.37477          50
                      547    205.98508          50
                      548    213.66763          50
                      549    219.85570          50
                      550    216.90870          50
                      551    210.48463          50
                      552    200.24588          50
                      553    230.49121          50
                      554    208.25926          50
                      555    213.74898          50
                      556    210.49490          50
                      557    214.85608          50
                      558    236.58444          50
                      559    210.65827          50
                      560    220.02770          50
                      561    237.06463          50
                      562    201.57733          50
                      563    217.68656          50
                      564    213.62410          50
                      565    209.44880          50
                      566    208.96104          50
                      567    208.66408          50
                      568    211.25920          50
                      569    206.52788          50
                      570    220.46876          50
                      571    218.00204          50
                      572    228.88700          50
                      573    221.87535          50
                      574    217.16732          50
                      575    236.68041          50
                      576    210.16352          50
                      577    213.81931          50
                      578    221.75604          50
                      579    216.11349          50
                      580    206.14997          50
                      581    214.00066          50
                      582    241.10117          50
                      583    205.65607          50
                      584    214.14337          50
                      585    214.84173          50
                      586    224.37247          50
                      587    231.49710          50
                      588    223.72603          50
                      589    214.14607          50
                      590    210.65619          50
                      591    225.41288          50
                      592    209.13532          50
                      593    213.39186          50
                      594    218.43855          50
                      595    226.05531          50
                      596    210.12174          50
                      597    198.52170          50
                      598    202.20510          50
                      599    215.40795          50
                      600    249.71805          60
                      601    236.33834          60
                      602    225.33681          60
                      603    245.77493          60
                      604    221.27796          60
                      605    230.94222          60
                      606    238.26521          60
                      607    226.69251          60
                      608    237.73232          60
                      609    224.59860          60
                      610    233.48512          60
                      611    230.71701          60
                      612    228.11244          60
                      613    241.95612          60
                      614    241.99020          60
                      615    233.99360          60
                      616    238.25785          60
                      617    239.99230          60
                      618    235.30166          60
                      619    242.16352          60
                      620    226.84078          60
                      621    232.29908          60
                      622    256.55928          60
                      623    241.40774          60
                      624    237.83235          60
                      625    233.73847          60
                      626    249.84691          60
                      627    233.20757          60
                      628    250.32785          60
                      629    225.76677          60
                      630    226.52256          60
                      631    240.22939          60
                      632    252.95684          60
                      633    231.83181          60
                      634    232.44423          60
                      635    239.75481          60
                      636    242.38047          60
                      637    225.22151          60
                      638    248.42987          60
                      639    230.82572          60
                      640    226.27679          60
                      641    225.00185          60
                      642    232.55593          60
                      643    220.39405          60
                      644    233.50303          60
                      645    241.27046          60
                      646    244.78106          60
                      647    240.03470          60
                      648    237.74787          60
                      649    225.61346          60
                      650    250.14861          60
                      651    229.23164          60
                      652    245.16005          60
                      653    250.21518          60
                      654    234.94806          60
                      655    225.58585          60
                      656    244.19649          60
                      657    244.21873          60
                      658    229.88669          60
                      659    232.45387          60
                      660    244.16548          60
                      661    241.39245          60
                      662    232.83924          60
                      663    244.50463          60
                      664    228.46122          60
                      665    232.70785          60
                      666    228.91169          60
                      667    234.57781          60
                      668    234.67396          60
                      669    234.33010          60
                      670    247.92368          60
                      671    254.06681          60
                      672    245.29385          60
                      673    237.43829          60
                      674    212.78214          60
                      675    243.74233          60
                      676    233.31416          60
                      677    230.22820          60
                      678    230.12461          60
                      679    236.37685          60
                      680    220.19888          60
                      681    250.11896          60
                      682    233.59724          60
                      683    242.27856          60
                      684    222.26953          60
                      685    214.82196          60
                      686    245.99567          60
                      687    230.40062          60
                      688    243.27513          60
                      689    249.72450          60
                      690    223.06336          60
                      691    228.58065          60
                      692    238.63600          60
                      693    236.42052          60
                      694    239.52162          60
                      695    237.20601          60
                      696    224.96379          60
                      697    239.96634          60
                      698    240.78305          60
                      699    217.29784          60
                      700    258.74128          70
                      701    274.78448          70
                      702    255.21675          70
                      703    248.69358          70
                      704    247.84833          70
                      705    244.61136          70
                      706    258.98522          70
                      707    258.30197          70
                      708    250.83563          70
                      709    265.29821          70
                      710    264.85092          70
                      711    259.40954          70
                      712    242.24984          70
                      713    265.28927          70
                      714    257.08996          70
                      715    260.88523          70
                      716    255.22205          70
                      717    268.27694          70
                      718    255.63935          70
                      719    273.99942          70
                      720    259.34536          70
                      721    269.51977          70
                      722    273.68541          70
                      723    277.29093          70
                      724    249.32309          70
                      725    239.61960          70
                      726    245.82181          70
                      727    257.15443          70
                      728    257.41278          70
                      729    252.07211          70
                      730    252.26200          70
                      731    249.19843          70
                      732    253.61502          70
                      733    254.38094          70
                      734    237.49480          70
                      735    253.34195          70
                      736    258.95378          70
                      737    234.03488          70
                      738    264.15335          70
                      739    265.29977          70
                      740    263.18147          70
                      741    253.92913          70
                      742    247.02362          70
                      743    243.46061          70
                      744    238.13825          70
                      745    251.79355          70
                      746    254.63304          70
                      747    262.27930          70
                      748    265.24822          70
                      749    252.97292          70
                      750    246.68767          70
                      751    258.89442          70
                      752    260.73142          70
                      753    261.22658          70
                      754    245.69771          70
                      755    259.63843          70
                      756    249.60389          70
                      757    240.25821          70
                      758    258.31191          70
                      759    281.54236          70
                      760    253.89504          70
                      761    256.87682          70
                      762    255.54518          70
                      763    264.87667          70
                      764    278.26252          70
                      765    249.39090          70
                      766    242.28993          70
                      767    256.51733          70
                      768    241.01350          70
                      769    253.47795          70
                      770    249.53538          70
                      771    246.61410          70
                      772    265.01492          70
                      773    247.03425          70
                      774    250.96279          70
                      775    259.49715          70
                      776    257.40056          70
                      777    255.11839          70
                      778    239.21442          70
                      779    252.33016          70
                      780    240.88751          70
                      781    260.23429          70
                      782    240.76436          70
                      783    256.89321          70
                      784    243.39516          70
                      785    258.25977          70
                      786    238.38645          70
                      787    243.91447          70
                      788    234.43244          70
                      789    243.65149          70
                      790    263.01322          70
                      791    252.31430          70
                      792    265.62511          70
                      793    243.98770          70
                      794    239.41778          70
                      795    258.32500          70
                      796    254.93896          70
                      797    253.05574          70
                      798    250.30952          70
                      799    265.33950          70
                      800    271.96305          80
                      801    266.05641          80
                      802    274.08853          80
                      803    268.18951          80
                      804    283.38535          80
                      805    280.80954          80
                      806    284.16155          80
                      807    285.97082          80
                      808    268.82292          80
                      809    275.93818          80
                      810    256.84533          80
                      811    271.11337          80
                      812    268.01509          80
                      813    276.19556          80
                      814    294.06941          80
                      815    283.58677          80
                      816    274.85370          80
                      817    262.11253          80
                      818    265.77376          80
                      819    272.26574          80
                      820    279.88501          80
                      821    266.65686          80
                      822    282.88101          80
                      823    260.14787          80
                      824    268.35643          80
                      825    283.17145          80
                      826    284.08931          80
                      827    284.39414          80
                      828    271.33137          80
                      829    279.50433          80
                      830    269.28617          80
                      831    259.27837          80
                      832    282.64685          80
                      833    264.55750          80
                      834    265.73725          80
                      835    275.76111          80
                      836    262.83007          80
                      837    266.62746          80
                      838    280.64017          80
                      839    303.40156          80
                      840    268.54833          80
                      841    278.94138          80
                      842    261.13441          80
                      843    275.99424          80
                      844    257.29493          80
                      845    268.50712          80
                      846    272.17258          80
                      847    283.56540          80
                      848    272.14360          80
                      849    267.65853          80
                      850    279.53180          80
                      851    288.11619          80
                      852    263.12618          80
                      853    280.56853          80
                      854    278.14159          80
                      855    276.33529          80
                      856    284.08798          80
                      857    281.33717          80
                      858    284.35946          80
                      859    283.12760          80
                      860    263.98174          80
                      861    285.44306          80
                      862    281.78939          80
                      863    281.26041          80
                      864    280.01987          80
                      865    288.42732          80
                      866    288.94707          80
                      867    279.64963          80
                      868    283.50506          80
                      869    283.45955          80
                      870    259.81370          80
                      871    280.10440          80
                      872    286.47306          80
                      873    282.08429          80
                      874    281.07080          80
                      875    284.17576          80
                      876    272.10986          80
                      877    286.59299          80
                      878    281.05965          80
                      879    271.54235          80
                      880    272.46301          80
                      881    280.38626          80
                      882    267.08670          80
                      883    264.09701          80
                      884    276.97467          80
                      885    271.14733          80
                      886    280.20823          80
                      887    281.45940          80
                      888    280.60599          80
                      889    267.60557          80
                      890    283.72423          80
                      891    255.61560          80
                      892    269.81794          80
                      893    275.80981          80
                      894    259.86165          80
                      895    264.03622          80
                      896    284.69154          80
                      897    284.84076          80
                      898    270.63435          80
                      899    264.48150          80
                      900    301.27048          90
                      901    288.80034          90
                      902    314.75489          90
                      903    305.65414          90
                      904    286.71663          90
                      905    298.83275          90
                      906    298.13514          90
                      907    293.78836          90
                      908    301.89980          90
                      909    278.89948          90
                      910    301.35067          90
                      911    265.22409          90
                      912    289.32246          90
                      913    305.91192          90
                      914    295.64353          90
                      915    299.59004          90
                      916    295.26294          90
                      917    297.96654          90
                      918    297.94559          90
                      919    284.95673          90
                      920    297.54411          90
                      921    308.33812          90
                      922    287.12521          90
                      923    294.57420          90
                      924    298.93898          90
                      925    311.64900          90
                      926    291.42728          90
                      927    289.55355          90
                      928    305.54224          90
                      929    299.15608          90
                      930    286.60977          90
                      931    306.25253          90
                      932    289.17973          90
                      933    290.58418          90
                      934    304.00740          90
                      935    298.19327          90
                      936    293.60410          90
                      937    282.98611          90
                      938    292.48436          90
                      939    299.45177          90
                      940    298.28479          90
                      941    301.78391          90
                      942    310.07790          90
                      943    306.00231          90
                      944    306.24709          90
                      945    310.16740          90
                      946    297.78938          90
                      947    297.23230          90
                      948    298.01014          90
                      949    304.69243          90
                      950    299.83360          90
                      951    282.37518          90
                      952    298.08936          90
                      953    308.83286          90
                      954    290.15321          90
                      955    310.75788          90
                      956    294.99719          90
                      957    304.20594          90
                      958    302.64285          90
                      959    292.76769          90
                      960    294.10382          90
                      961    293.60934          90
                      962    306.74636          90
                      963    310.76223          90
                      964    284.44217          90
                      965    293.84645          90
                      966    303.79535          90
                      967    306.27777          90
                      968    297.04835          90
                      969    298.94803          90
                      970    311.12655          90
                      971    299.91324          90
                      972    283.75926          90
                      973    285.78379          90
                      974    307.45886          90
                      975    282.36400          90
                      976    297.94439          90
                      977    290.41034          90
                      978    298.96722          90
                      979    305.13370          90
                      980    300.85200          90
                      981    299.58749          90
                      982    292.82601          90
                      983    283.03646          90
                      984    296.59633          90
                      985    297.03585          90
                      986    302.49689          90
                      987    280.98804          90
                      988    304.16926          90
                      989    288.70220          90
                      990    303.30289          90
                      991    297.33681          90
                      992    294.96749          90
                      993    310.61771          90
                      994    301.73877          90
                      995    280.36631          90
                      996    284.18872          90
                      997    302.21797          90
                      998    289.35924          90
                      999    282.09903          90
